證券代碼,Data Field,2014/1/10,2014/1/17,2014/1/24,2014/1/27,2014/2/7,2014/2/14,2014/2/21,2014/2/27,2014/3/7,2014/3/14,2014/3/21,2014/3/28,2014/4/3,2014/4/11,2014/4/18,2014/4/25,2014/5/2,2014/5/9,2014/5/16,2014/5/23,2014/5/30,2014/6/6,2014/6/13,2014/6/20,2014/6/27,2014/7/4,2014/7/11,2014/7/18,2014/7/25,2014/8/1,2014/8/8,2014/8/15,2014/8/22,2014/8/29,2014/9/5,2014/9/12,2014/9/19,2014/9/26,2014/10/3,2014/10/9,2014/10/17,2014/10/24,2014/10/31,2014/11/7,2014/11/14,2014/11/21,2014/11/28,2014/12/5,2014/12/12,2014/12/19,2014/12/27,2014/12/31
6147 頎邦,現股當沖比重,4.4,7.59,7.93,4.49,7.42,6.23,6.2,3.87,9.1,5.11,7,7.55,11.53,9.53,4.97,5.63,5.8,5.63,3.79,7.26,3.23,3.79,3.19,4.64,4.94,2.94,3.81,4.03,2.02,4.61,4.6,5.19,8.97,3.62,5.28,3.21,6.04,7.45,8.35,9.62,10.54,9.27,5.34,5.19,3.25,6.69,3.4,4.72,4.73,3.1,10.41,6.89
6173 信昌電,週報酬率 %,4.8309,0.4608,-2.7521,-2.3585,7.7294,-0.8969,13.1221,-3.6,-2.9046,1.282,0,-0.4219,1.2712,-1.2552,2.5425,-4.9587,-4.7826,4.5663,-3.0567,3.1533,4.8035,9.5833,-1.5209,-1.1583,-1.9532,-1.1952,-5.2419,0.4255,3.3897,-4.5081,-0.4291,7.7586,-5.2,0.844,1.6738,-1.2345,-0.8334,-2.9411,0.8658,-2.1459,-13.1578,4.5454,2.8984,1.8779,3.2258,-3.5714,0.463,9.6775,-2.9411,-1.7316,4.8457,-0.8403
6173 信昌電,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6180 橘子,週報酬率 %,1.6,12.2048,1.7544,-4.3103,-3.063,-3.9034,8.5106,1.7826,-3.5027,10.3449,-1.3157,3.6665,23.6334,-2.2106,4.1224,-7.0242,-1.2363,0,0.9736,0.4132,3.0179,0.1331,0.3989,2.3842,-0.9056,-4.047,-6.1224,-0.8695,-1.0234,-7.2378,-1.9108,-3.0845,-5.5277,8.2659,7.3334,-5.2795,1.9672,-7.0739,9.8616,0,-8.6615,-3.1034,2.669,2.253,-0.5085,-0.6814,-0.5146,7.2414,11.4149,0,10.9668,-1.8206
6180 橘子,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6182 合晶,週報酬率 %,10.2041,-4.2327,-3.8674,-6.6092,4,0.5916,-3.8235,0.3058,7.3171,0,-3.9773,-2.3669,1.8182,-3.2738,1.2308,-6.3829,0.6494,-2.9032,-0.9967,0.6711,-3.3334,0.3448,10.653,-1.8635,-6.962,5.4421,-5.8064,3.0821,1.3289,-8.8525,0,-1.4389,-5.1094,1.5385,7.5758,-1.7606,-1.0753,-2.8986,1.1195,-4.797,-13.5658,8.9687,3.7037,-0.3968,-1.5937,-3.2388,-2.0921,9.4016,-3.125,14.9576,12.0567,-2.2152
6182 合晶,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6188 廣明,週報酬率 %,14.0299,1.8324,-1.1569,-2.3407,4.6604,0.3818,-2.7884,2.8684,-4.4359,-2.6525,2.0436,0.5341,2.5233,-2.0726,3.0423,-6.4185,3.7036,0.9259,1.4417,0.2585,2.3195,7.3047,-2.1127,-0.3597,-0.8424,-0.364,-5.5099,0.8345,0.4138,-0.6868,-4.011,6.4842,-0.6765,2.7248,-1.5915,-1.6173,1.3699,-2.4323,0.277,-2.7625,-9.6591,1.2579,4.0373,-0.4477,2.6987,-0.73,-0.5882,4.4379,-1.2748,-0.4303,2.0174,0.5649
6188 廣明,現股當沖比重,6.23,6.71,8.74,4.27,7.2,9.02,7.51,3.84,3.91,3.16,3.36,3.66,4.11,5.05,6.7,2.21,6.35,1.33,1.87,2.07,4.71,5.77,6.03,5.43,5.04,0.95,5.68,4.75,6.06,7.29,2.64,5.1,5.32,10.85,9.83,6.51,1.56,1.11,5.83,1.54,2.07,1.11,2.94,4.85,1.91,9.89,3.38,4.52,1.85,7.41,5.66,3.74
6238 勝麗,週報酬率 %,-12.3596,3.8461,8.0247,0,-7.4285,0,12.037,6.6116,-0.7751,-10.4166,10.4652,-0.5262,4.7619,-4.0404,13.6841,15.7408,0,6,7.5471,7.3683,-1.9608,-8.3334,7.4544,7.9527,-9.4044,1.038,2.0548,-4.3623,-6.6666,0.376,-19.4756,-3.9535,23.0025,24.8032,-8.202,8.5912,-12.9747,-7.8182,-6.1144,15.1261,-12.4088,12.4999,0.0001,5.1852,0.3521,-1.0527,22.695,-5.2024,3.6586,-1.1765,4.3155,9.5579
6238 勝麗,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6274 台燿,週報酬率 %,9.5919,5.028,-2.4822,0.9091,-0.3603,-0.3617,0.363,0.1808,-5.7761,4.2146,-1.103,-0.1859,5.7728,5.4577,3.3389,-10.6625,6.1482,-3.7479,-3.7168,2.9412,-1.2501,0.0001,2.7125,-4.4014,-2.7624,0.7577,-1.8796,4.023,1.1049,3.8253,-2.2808,7.0018,1.1622,2.4223,-2.0271,-3.9655,3.052,-3.1359,2.338,-6.5027,-9.3984,2.9047,1.8144,-0.792,4.5909,-0.1909,0,5.9273,-4.332,-2.4528,4.2553,-0.7421
6274 台燿,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6279 胡連,週報酬率 %,-5.0228,0.1202,3.8414,0,1.7342,5.6817,-0.2151,0.3232,-0.3222,1.0776,-4.1577,1.2236,10.989,6.4357,4.186,-10.2679,1.4926,-1.9608,-0.1,2.6026,6.8293,-3.6531,0.474,13.2075,-2.0833,2.9788,-6.5216,2.3256,3.6364,4.386,-4.6218,6.6079,-2.8925,3.4044,1.646,-3.2389,1.2552,-5.3719,4.8035,-6.2499,-5.3333,0,-0.0001,9.8592,-2.1368,1.3101,-1.2932,4.8035,-3.7499,-3.0303,-1.3393,-0.4524
6279 胡連,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,5.54,9.67,4.21,5.45,4.74,2.81,7.93,3.92,14.14,10.4,10.86,6.43,8.08,4.04,5.68,6.6,7.11,3.36,8.02,6.32,7.84,3.01,9.66
6290 良維,週報酬率 %,0.5366,0.5338,-0.885,0,6.2499,11.4285,8.2956,11.4207,-2,7.398,-4.9881,2.375,6.4713,-4.0137,-3.9426,3.2337,-2.5302,-0.6181,-9.9503,5.1105,0.7884,-5.0848,3.7087,1.7219,-4.6875,-1.0929,1.3814,-2.5628,7.7147,-5.4054,-0.1428,-11.8742,4.8701,0.3096,-3.3951,-4.1534,5.6667,-8.2019,9.4503,-5.3375,-8.9552,-6.193,4.6602,4.2673,-1.0677,-0.8993,8.1669,8.7249,-7.4075,-2.5,8.034,-2.6898
6290 良維,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6462 神盾,週報酬率 %,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.6534,-23.5308,-4.6156,-11.2832,-22.7273,6.2118,1.1188,-11.8195,5.6025,-5.3052,5.8509,8.2033,8.4598,13.65,16.7708,-7.7687,-13.3987,-2.8302,9.9417,-7.2765,-4.1905,1.8888,-3.4147,2.4242,-4.211,4.911,-0.2258,8.1833
6462 神盾,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6488 環球晶,週報酬率 %,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.6667,0.5025,1.25,0,4.9383,-1.1765,2.6071,12.5328,-3.4077,0.022
6488 環球晶,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6510 精測,週報酬率 %,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6510 精測,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6561 是方,週報酬率 %,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6561 是方,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6643 M31,週報酬率 %,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6643 M31,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8069 元太,週報酬率 %,0.2915,-3.1977,-0.9009,-1.8182,0,5.8642,-0.583,-0.5866,-1.18,4.7762,-1.9943,0.5814,3.4682,11.1732,1.7588,-2.4692,4.0506,-1.4599,-2.716,-1.269,-3.3418,4.5213,1.7812,0.9999,-3.4652,0.2564,0.2558,2.551,-0.4975,-4.25,-10.705,4.3858,0.5604,1.3929,-0.2747,-1.3774,-1.9552,0,1.1397,-4.5071,-14.4544,0.6897,1.3698,4.054,-3.2467,-9.396,-1.4814,7.1428,-3.1579,-0.3623,7.6362,-1.3513
8069 元太,現股當沖比重,4.52,7.29,3.91,4.04,3.18,8.19,5.15,7.54,9.48,3.34,13.13,8.52,8.45,15.39,5.77,9.96,7.19,8.87,9.46,6.91,5.57,10.96,5.98,7.85,10.45,4.77,9.66,8.05,3.13,6.34,7.68,7.34,4.72,2.49,7.68,3.05,1.44,3.96,29.68,8.44,9.42,6.58,8.78,11.25,4.68,3.57,8.67,5.89,4.05,7.02,9.18,2.88
8076 伍豐,週報酬率 %,-4.2801,1.2196,-1.6065,-0.4082,0,11.4754,6.6177,6.2069,5.5195,1.8462,-0.3021,1.2121,10.4791,-1.897,-11.0497,-1.8634,-4.4304,1.9868,-1.2987,8.5527,4.5455,4.9275,0.5525,8.5165,-3.6534,1.0667,0.5278,-4.9868,-9.1161,-1.5197,-14.5062,7.2202,9.4275,6.4617,0.0001,-0.578,4.8296,-10.6384,6.8027,-7.0065,-17.4658,-18.9211,12.5896,-1.8183,5.0926,1.7621,0.4328,4.3103,1.653,-17.8862,11.8811,0.8849
8076 伍豐,現股當沖比重,5.07,6.64,5.11,3.82,6.09,8.58,12.95,0,6.63,9.23,11.99,7.82,12.22,8.98,8.24,7.37,18.75,10.16,12.65,7.55,7.32,6.41,9.22,15.05,10.64,14.34,12.38,18.23,26.74,12.65,15.63,19.44,14.59,16.67,15.74,19.49,18.8,25.66,15.02,20.33,26.17,13.84,19.4,23.59,17.02,15.76,17.37,16.24,14.53,22.47,19.45,15.96
8086 宏捷科,週報酬率 %,9.5407,-4.5162,3.3784,-5.2288,8.2759,3.5032,11.3846,-2.7624,-4.2614,2.0771,-2.3257,7.1429,1.6667,3.5519,10.8179,0.0001,0.2381,-1.1877,-2.4038,6.8964,15.2073,5.8,5.482,-4.4803,-2.0638,2.1073,-5.0657,5.1384,-1.5038,-3.6259,-4.9505,1.2498,2.4692,5.6224,-2.6616,-0.5859,1.7683,-0.0001,-0.9652,1.3645,-0.7693,-1.9381,7.1146,11.4392,1.8212,1.7885,1.278,8.2019,-1.6035,-6.3704,29.1138,1.9607
8086 宏捷科,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8299 群聯,週報酬率 %,-0.5195,0.7833,0.5181,-2.0619,1.5789,0.5181,-0.5154,4.6632,-1.4851,-2.2613,0.0001,-0.7713,3.627,-1.5,0,2.0304,3.4826,0.2405,5.9952,-1.3575,0.9174,4.7728,-0.8676,3.72,0.2109,2.7369,-1.2205,-4.5454,2.9478,-1.3215,-4.4643,3.7383,-1.5766,-0.9153,1.6166,-0.6818,-0.4577,-6.2069,4.9021,-4.4392,-8.0686,-0.5319,9.6257,1.7072,0.4796,-0.4772,-0.7194,2.4154,-0.7075,-0.7126,4.5454,0.2289
8299 群聯,現股當沖比重,4.13,2.4,2.08,1.3,5.92,5.07,2.58,6.92,2.04,3.37,3.66,1.54,2.6,2.4,5.35,5.33,5.03,4.31,9.76,3.53,2.03,8.83,2.08,5.73,2.86,11.08,3.83,5.93,3.33,4.27,12.1,8.02,3.04,5.67,4.6,5.68,1.05,4.68,4.77,3.1,1.14,4.42,6.42,11.79,14.01,6.42,2.59,8.25,0.99,11.21,7.37,1.16
8358 金居,週報酬率 %,1.2078,-0.4773,-2.8776,-2.2222,2.7778,4.2999,3.6514,5.1137,-2.4865,0.2218,2.8761,-1.9354,1.9737,-1.613,-0.765,0.9912,0.3272,3.5869,-2.4135,0.5375,2.0321,2.7254,2.5511,1.4925,1.9607,5.7694,-9.0909,3,0.9708,0.9616,-1.9049,-0.4854,-0.4878,1.4706,-0.4831,-0.4854,-0.4878,-0.4902,1.4778,0,-2.9126,0,0,2,-2.0588,0.1002,-0.8,0.8064,-0.7,0.4028,0.1003,-0.1002
8358 金居,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8406 金可-KY,週報酬率 %,1.9164,-4.4445,0.8944,-0.5319,1.2478,-4.0493,4.2202,4.2254,-2.0271,1.3793,-6.4626,-5.2729,4.0308,-5.9041,5.8825,-5.1853,1.3672,0.7707,-1.7209,2.7236,4.9243,3.2491,-7.6923,0.1894,-2.0794,-4.6333,1.417,-5.913,-9.2473,-0.8293,3.226,3.5879,-12.7374,6.658,5.6423,-0.6818,-0.4576,-3.908,1.7941,3.9953,-9.3787,-0.9974,3.2745,-3.5366,-10.6195,-13.4371,12.2548,2.6201,2.6951,-1.1049,-4.4692,-1.4619
8406 金可-KY,現股當沖比重,4.36,7.37,14.42,4.52,6.58,2.97,7.41,10.65,6.75,8.38,2.7,8.06,8.14,7.53,7.82,12.82,13.25,3.62,5.26,9.47,9.65,13.8,4.7,10.67,0.68,1.13,3.62,5.57,11.69,7.16,5.07,3.94,18.4,13.52,15.91,7.03,2.52,6.07,6.87,18.37,29.26,34.01,11.45,17.47,9.69,18.13,20.78,15.05,26.01,8.31,12.99,14.92
8436 大江,週報酬率 %,-5.1402,-3.4482,-0.0001,-1.0204,-1.134,-1.3555,-3.3827,5.6892,-0.6213,5.2082,-5.0495,2.2941,7.0336,-7.1428,-1.2308,-4.4651,0.326,-0.8667,-14.5354,-1.1509,0,-6.8563,-0.5556,3.9106,30.9139,0.6161,-5.8164,-5.5256,6.4626,-6.125,-4.1277,-1.9445,2.9745,1.2379,-1.7664,-2.3512,3.8244,-4.3656,14.408,-4.6134,-7.8431,2.2695,5.5479,-2.3653,-1.3459,10.0956,0.3716,10.9877,-1.7799,-8.3805,1.9777,-0.3636
8436 大江,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8942 森鉅,週報酬率 %,-0.7951,0.9616,3.9683,0,6.4122,12.6255,1.6562,7.7695,1.279,3.3296,-5.6667,-2.9446,-0.9709,3.3088,-1.6608,-1.0857,6.7073,-0.5715,-0.23,0.2305,-1.4943,-1.0502,0.8254,-1.9884,5.1311,-6.5834,2.5493,-11.8644,3.7088,-1.3245,-0.6711,-10.5406,-1.9637,0.6163,6.2787,0.1441,-0.7193,0,2.5275,4.4226,-10.1175,3.2722,-1.014,-3.457,-3.7136,2.3416,3.9031,12.6943,-0.0001,1.1494,0.2272,3.1746
8942 森鉅,現股當沖比重,6.94,0.17,2.42,1.1,3.38,8.2,3.73,5.81,9.94,9.72,6.89,4.58,6.51,8.65,11.63,6.32,6.56,5.58,5.61,5.46,6.9,5.02,3.32,5.29,6.32,5.34,6.45,8.53,8.04,8.7,8.81,9.35,11.99,1.59,2.95,1.36,0,0,4.63,7.27,3.15,3.08,15.57,18.19,5.77,1.69,2.57,4.72,2.62,3.45,0,6.47
