證券代碼,Data Field,2013/6/14,2013/6/21,2013/6/28,2013/7/5,2013/7/12,2013/7/19,2013/7/26,2013/8/2,2013/8/9,2013/8/16,2013/8/23,2013/8/30,2013/9/6,2013/9/14,2013/9/18,2013/9/27,2013/10/4,2013/10/11,2013/10/18,2013/10/25,2013/11/1,2013/11/8,2013/11/15,2013/11/22,2013/11/29,2013/12/6,2013/12/13,2013/12/20,2013/12/27,2013/12/31,2014/1/3,2014/1/10,2014/1/17,2014/1/24,2014/1/27,2014/2/7,2014/2/14,2014/2/21,2014/2/27,2014/3/7,2014/3/14,2014/3/21,2014/3/28,2014/4/3,2014/4/11,2014/4/18,2014/4/25,2014/5/2,2014/5/9,2014/5/16,2014/5/23,2014/5/30,2014/6/6,2014/6/13,2014/6/20,2014/6/27
3152 璟德,週報酬率 %,-3.6688,2.2851,-1.0638,2.6882,1.3613,1.2396,1.4285,0.1006,-2.5126,5.3322,1.9448,14.9599,13.537,-1.9232,-0.3922,8.6614,-7.6087,-4.7059,7.819,1.145,-1.1321,1.5267,1.1278,13.383,0.6557,4.5602,-4.9844,0.9837,3.8961,-1.8293,0.3125,-4.6729,-0.6536,-7.8947,-0.7143,0,3.5971,1.0417,1.031,4.4218,-0.9772,-2.3026,2.3569,1.9737,-4.8386,3.0508,-2.9606,3.3899,-1.9673,-3.6789,0.3472,2.7681,2.6936,-2.2951,-0.3357,-2.3569
3152 璟德,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.43,1.55,2.26,2.58,5.52,12.35,6.79,4.67,4.23,1.47,1.71,5.5,0.5,0.6,3.48,4.32,6.9,2.07,1.8,1.67,0,2.7,0,0.95,0
3227 原相,週報酬率 %,0.9585,-4.2723,0.4958,1.9737,0,-2.9032,2.1595,-10.7317,3.2786,-0.1764,0.7736,7.0909,-0.5093,-0.8532,0.3442,1.7152,-0.6746,-2.7165,-2.0943,-0.7131,-1.2567,-3.0909,-13.5084,-1.3015,5.0549,-0.4185,0.3151,1.8848,4.0081,3.6045,0.7905,6.2746,0.5535,-4.5871,-2.3077,2.756,1.7241,9.4162,0.8606,-1.0238,5.3449,8.0196,3.0304,-2.0589,-4.2041,-0.7836,-6.635,1.692,8.1531,0,4.1539,1.9202,18.2608,3.9217,-3.7735,-7.3529
3227 原相,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3264 欣銓,週報酬率 %,-0.5051,-3.5533,-0.5263,0.7937,0,-0.7874,3.1746,-1.795,-1.3055,1.3229,-0.5222,2.5328,1.0958,-0.8129,-0.5465,3.0219,4.8,-0.0001,1.0178,-1.7632,0.2564,2.3017,0.5001,2.4876,0.4855,3.14,0.4684,3.4966,-0.6757,-1.3514,3.6282,2.8446,0,6.383,0,6.8001,-5.2435,5.9289,-2.7985,-2.1114,2.9412,-3.2382,2.3623,4.6153,-1.8384,1.3108,-6.4695,3.5574,-1.9084,-5.8366,2.686,8.8531,1.8484,-2.541,0.3723,-0.3711
3264 欣銓,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.19,1.13,2.33,3.41,4.52,1.43,4.57,1.76,6.22,2.92,3.34,2.39,6.4,2.84,3.99,2.86,2.16,2.5,6.66,5.22,1.14,5.3,2.4,3.88,1.31
3293 鈊象,週報酬率 %,-2.7879,-0.3741,-1.0014,-2.0228,-4.9032,-5.156,3.5767,-0.138,-2.0748,-2.6958,-0.3154,-2.0571,-1.454,-0.164,3.4483,-1.4286,-1.2883,-0.9788,-4.1186,0.6872,-3.0717,-12.0598,0.9009,-3.7699,14.6391,-0.7194,-3.6233,1.3158,7.6067,6.422,2.5862,0.3362,0.1674,-3.8462,-2.7826,-0.3578,-0.7182,6.3292,10.5441,13.0771,11.5645,-5.122,5.3983,10.4878,0.3311,-0.99,-4.4444,-0.4651,0.1168,-1.4002,31.361,14.8648,13.3334,3.1141,4.698,1.6026
3293 鈊象,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3324 雙鴻,週報酬率 %,-5.423,-6.8808,-2.2167,10.5793,0,-3.8726,2.1327,-7.1927,-0.8154,2.9177,-5.4125,1.6348,-0.8044,-2.687,-0.2842,0.2849,7.3865,-6.3492,-0.8476,1.7094,11.4845,-1.7587,-3.8362,2.9256,12.6614,-3.8991,4.7733,-2.0501,-3.0233,6.7796,5.5156,11.8183,-2.8455,0.2093,-2.9228,4.0861,-0.0001,8.6777,11.4069,-6.9966,0.1835,1.6484,-3.9639,-0.5629,-1.8868,-2.3078,-8.071,5.3532,-1.2194,0,4.9383,7.255,-3.2907,-7.9395,-1.0267,-1.4523
3324 雙鴻,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3529 力旺,週報酬率 %,6.0941,3.0026,1.9011,2.4501,-2.7604,4.5161,1.4815,3.4063,-7.294,-3.5534,2.5,-3.466,-0.266,-1.3333,-1.3513,0,-1.0959,-7.6178,8.8454,0.8265,-2.0493,-2.2314,4.137,2.1918,-0.2682,6.1828,-1.3923,-0.8986,1.943,1.5423,1.1435,11.4322,4.6222,1.7241,-0.8475,-0.5342,5.0484,18.6094,11.207,13.566,13.6519,1.5015,16.864,20.5064,-9.2437,-3.2407,-6.2201,9.6939,-1.3954,3.7736,33.1817,-2.3891,6.6434,-4.9179,20.6896,7.4285
3529 力旺,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3611 鼎翰,週報酬率 %,-2.9412,1.5151,-2.2387,8.0153,21.5548,-6.6861,0,0.9772,3.5484,1.8691,3.9755,-0.8824,-3.2642,-3.3742,0.9524,-0.6289,2.2152,2.7864,6.6265,12.4294,-8.794,0.8264,3.0054,7.1618,2.2276,7.9904,-0.8968,1.1313,1.3422,1.373,-3.9735,-1.1493,1.8604,5.7078,1.9438,-1.9068,6.6955,-1.6194,8.8478,12.2874,0,-4.0404,-0.1754,4.0422,-5.7433,-4.3011,-11.6106,7.6271,-1.9685,-11.8474,18.451,0.5769,11.6635,-8.5615,3.3709,12.3189
3611 鼎翰,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4107 邦特,週報酬率 %,-0.5141,8.2687,1.5513,6.8155,5.6104,-0.5209,-5.9686,8.1292,-2.1626,0,4.842,7.4194,14.0926,-6.9374,4.5455,-4.0687,4.9633,-0.7005,4.0564,-4.0679,3.7101,-3.0665,0.703,-4.014,2.1818,2.3131,-3.4783,3.7837,8.507,4.5234,6.8799,-7.6347,-0.8104,-0.1634,-1.473,1.4951,4.7462,9.5313,-0.7132,-2.1552,3.3774,-2.6989,-1.6058,3.5609,-0.8596,-4.3353,-0.1511,5.2949,2.7299,-1.2588,-1.4164,1.2932,8.0852,-0.2625,-1.9737,1.6108
4107 邦特,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4123 晟德,週報酬率 %,2.5582,-2.4943,-3.1396,5.4021,-0.7972,6.4294,-4.9623,3.7457,0.4376,-0.2178,-1.7467,8.4445,9.8361,6.3434,2.6315,31.0296,6.3329,-4.5706,-1.3064,1.9118,-8.6581,0.0001,-3.9494,4.6052,3.459,-2.7356,-3.9062,2.6017,-2.0602,-2.3621,2.7509,-5.8267,-0.1672,2.1776,-0.3279,0.1645,2.7915,-0.9585,11.1291,4.4993,1.5278,-4.5142,-1.7193,2.1865,-4.2796,5.0671,-2.4114,13.6627,10.3581,-1.7383,10.2595,0.4278,3.5144,10.0822,-5.1402,16.2563
4123 晟德,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.88,0.46,1.7,1.55,2.22,2.35,5,5.73,7.39,9.2,8.14,4.67,2.82,5.19,12.22,7.74,0.04,7.59,12.17,8.86,5.89,3.85,8.76,9.26,11.77
4162 智擎,週報酬率 %,0.0001,5.1872,-5.2054,10.9826,-1.302,1.0554,-7.0496,0.2809,-3.9216,11.9534,3.6458,19.8992,11.9657,-8.5878,6.2631,-3.1434,14.8073,-4.5936,-0.5555,0.5586,-8.8889,2.4391,-5.1588,-1.2551,8.2627,-9.002,-8.6021,0.2353,0.0001,-3.4167,10.7982,-2.7543,-3.9215,-0.2269,5,5.1948,1.8518,3.0302,-2.7451,2.6209,1.9647,-4.8169,-2.4293,1.2449,-3.6885,11.2766,-4.2065,7.7844,12.2222,2.9704,5.7691,2.1211,-3.5609,3.5385,-4.6063,-0.6231
4162 智擎,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.97,7.63,13.27,7.83,9.06,9.14,10.79,4.21,7.65,17.95,14.49,20.94,15.78,10.85,11.05,23.7,0,24.96,27.65,3.6,25.66,24.77,26.93,14.69,15
4736 泰博,週報酬率 %,4.4484,8.3477,-5.6605,-4.5,16.2303,2.2523,1.0278,12.3546,3.6338,-0.7793,0.6546,-2.8608,9.9062,-4.5068,1.4032,4.0252,3.2649,-3.8642,-1.9489,-0.6211,-3.125,-0.6452,-4.9351,-1.5026,1.1095,4.2524,0.0001,-2.3683,0.0001,3.7736,5.5255,-4.0868,-0.799,-1.3423,0.2721,6.5128,0.2547,8.5134,4.2155,1.1236,-0.6667,8.5011,-7.2164,5.3334,-5.8017,-2.2398,4.4674,3.0702,9.5745,10.6796,7.0176,6.5574,-0.3845,-0.3861,-7.752,-4.6219
4736 泰博,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4947 昂寶-KY,週報酬率 %,0.9091,-2.7028,0.0001,6.9445,0.8658,2.1459,14.2858,1.7099,2.6218,0,-2.1898,0.7463,12.5926,10.5264,-2.381,-4.2683,5.7325,-3.6144,1.2499,5.5555,-0.8772,15.6341,11.2246,-2.7524,3.066,31.579,-11.3044,10.3921,-10.4797,4.3642,3.5714,-1.1494,0.3876,12.3552,-3.4364,3.9146,4.9658,-2.7733,-0.3356,8.4176,1.8634,-7.317,5.921,9.9379,-10.5931,4.2654,-9.2425,-5.8431,-3.5461,-0.7353,3.1482,4.1293,-1.5518,-9.2819,-1.9305,-3.1496
4947 昂寶-KY,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.72,11.42,10.52,14.85,12.56,9.19,13.24,9.35,10.89,9.91,12.56,12.21,17.54,6.79,13.6,15.06,17.8,6.72,12.59,13.03,12.37,12.32,14.19
4966 譜瑞-KY,週報酬率 %,-7.1428,-7.6923,-0.8334,-4.4118,6.5934,-4.7422,2.8139,0.2105,6.3026,7.1146,-0.1846,4.9907,8.9332,-5.492,3.3898,-2.1078,0.7177,3.5629,-0.9174,3.2406,-0.4484,-24.7748,6.2874,-4.7887,2.071,10.1449,-3.9473,2.1917,21.4478,15.3466,5.0773,-3.3613,9.3479,-8.35,-6.2907,1.6204,-0.0001,-2.7334,9.602,11.752,5.5449,-6.7029,-3.4952,3.0181,1.5625,0,-6.7308,10.103,-1.1237,-1.7046,16.763,13.6964,18.7229,-2.6894,-2.7637,5.4263
4966 譜瑞-KY,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33,8.12,6.2,4.25,10.18,10.63,9.88,5.67,8.23,16.18,11.01,7.54,14.04,11.73,8.2,7.62,8.37,10.93,5.54,9.57,14.21,12.15,13.11,11.58,18.44
5263 智崴,週報酬率 %,-0.4027,1.0782,-1.0666,6.0647,-0.7623,-0.7682,-0.5161,-2.7237,2.6666,-4.5456,2.7396,-2.6845,4.8277,0.7171,1.0974,3.7992,1.9607,-3.2053,0.6622,2.3684,-1.5424,9.269,0.1195,3.8186,14.9426,9,24.3119,8.8561,7.7966,24.9123,16.3523,35.6758,3.5856,6.5386,-0.361,6.703,4.4143,18.2115,11.0042,0.1239,2.9703,-0.9615,21.3591,19.8,-9.8498,2.5925,-6.3178,3.4682,-2.2347,-13.7143,13.2452,20.2728,0.162,-2.1036,-3.3057,3.4188
5263 智崴,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.72,18.22,6.47,20.06,20.78,27.33,29.4,19.45,18.87,24.76
5274 信驊,週報酬率 %,-1.6555,8.4175,-8.0745,1.0135,0,-0.6689,21.5487,2.4931,-13.5135,4.6874,4.5268,3.3032,-0.8721,-0.8798,0.5917,2.9411,-2.8571,-17.0588,3.9007,4.0956,-7.2131,5.3004,14.094,-6.7648,7.8865,4.9707,-0.8357,2.5281,3.5617,0.529,5.2909,5.5276,-1.6667,0.0001,-4.1162,7.3232,-1.4116,5.4893,-0.4525,20.4546,-0.7548,-0.7605,3.8314,6.2731,-5.7292,-2.7624,-7.9545,6.3785,-2.5146,-6.746,15.5319,-1.105,5.5867,-3.7037,-3.4799,-1.3283
5274 信驊,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5289 宜鼎,週報酬率 %,-4.5454,2.2222,3.7267,2.9341,0.7417,0.6786,8.1016,-7.1496,4.2858,1.138,5.6296,-0.4208,8.4366,-4.9877,-0.2051,1.3698,-0.3919,-0.4206,-4.7685,0.1288,0.2857,-1.5671,-1.158,-4.6714,1.6129,9.8412,-1.7342,-2.2058,1.8045,1.0401,11.6692,-4.1006,0.2759,-0.9628,-1.1111,1.1237,-2.0834,1.1347,-1.9636,0.143,0.0001,-0.4286,0.8609,1.2802,1.4045,-0.831,0.9777,7.8839,2.8205,-8.2294,4.7555,3.2425,9.9246,-0.6857,3.5672,-2.5556
5289 宜鼎,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5347 世界,週報酬率 %,0.2908,-1.7392,0.2949,5.4412,-0.1394,-18.6773,13.6043,-3.577,-5.4839,3.925,1.1494,5.0324,8.1916,-2.5714,2.9326,-6.5527,-0.6098,-2.9141,1.5798,-1.5551,2.2117,-2.0093,-0.6308,-1.9047,12.4595,-2.4459,3.8349,-0.8523,-1.1462,2.1645,4.0579,-4.5962,5.8394,-5.1035,-2.6163,5.8209,13.2582,7.8455,3.3488,2.7934,5.9782,-11.6924,5.4588,5.837,-6.7639,-4.6874,-1.8735,1.3127,-2.2379,7.8312,0.2235,3.679,0.8602,-1.0662,-0.8621,1.1957
5347 世界,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.76,6.23,1.31,3.49,4.74,10.58,6.02,5.91,10.12,6.68,5.84,7.13,7.06,3.92,6.57,4.75,4.28,3.62,9.98,3.42,5.12,4.78,6.99,7.68,6.2
5371 中光電,週報酬率 %,1.992,-0.3905,-3.3333,-4.6653,7.4954,-2.4793,8.051,1.7647,-0.1926,2.3167,-1.8868,0.3846,-1.1494,-3.6823,-0.2012,0.2016,1.2073,-1.7893,2.8341,-2.3623,2.2177,0.9863,0.586,2.3302,1.3284,2.4345,2.7421,-0.3559,4.2856,0.6836,-0.1713,-1.7153,1.0471,0.1727,-3.1034,3.7367,1.5438,3.0407,-0.8197,6.4463,7.2981,2.7497,-2.6761,0.7237,7.7585,2.4,-8.0729,4.2492,-4.0761,-5.0992,-0.2985,4.1916,0.2873,0.8596,-1.8466,-5.3548
5371 中光電,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94,1.25,2.92,0.66,2.04,3.98,2.64,6.86,3.48,5.32,3.87,7.24,2.11,9.19,5.49,4.21,4.41,4.6,1.91,3.04,1.46,6.14,0.66,1.34,1.15
5425 台半,週報酬率 %,-6.8119,6.1403,1.6528,11.9241,6.0532,-5.7078,10.9971,0.893,0.8851,5.9211,2.6915,-1.6129,1.8443,-4.6278,1.2658,-0.8332,2.5209,-3.0738,-4.8625,2.0001,4.793,-3.3264,-2.1504,-0.2199,3.5243,3.4043,5.1442,10.959,2.9983,3.9711,1.0275,4.0676,-2.9316,1.3424,-2.9801,-2.3891,5.9441,-0.165,0.4958,12.5,15.4971,-7.4683,-1.2311,0.9695,-0.6859,0.9669,-12.4487,3.2813,9.6822,-8.5517,3.7707,8.8664,-0.1335,3.0749,-1.9455,-3.9682
5425 台半,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5457 宣德,週報酬率 %,-6.4067,9.5238,-7.8805,0.59,0.2933,-2.3392,1.7964,-0.294,-0.295,14.2011,-0.7772,-7.0496,7.3033,-3.1413,0,-0.8108,-0.2725,1.3662,1.3477,-2.6596,-0.5464,-3.022,-5.9489,-2.7107,8.9783,6.818,-3.1915,-1.3737,-1.1142,14.731,19.7184,12.2354,10.6918,-1.5152,-2.6923,3.7549,-6.8571,4.7035,3.9063,-1.8796,-3.4483,-6.3492,1.2712,2.5104,-0.8163,-1.4405,-0.4177,5.2412,0.3984,-3.7699,0.6186,26.8442,-1.4539,8.1968,13.9394,2.3937
5457 宣德,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5483 中美晶,週報酬率 %,-5.9406,-0.5264,2.1164,-0.9068,-0.6535,-6.4474,4.9226,-4.4235,-0.1402,-0.8427,-5.5241,3.4482,13.0434,-2.0512,3.1414,-0.6345,4.7254,-4.6342,5.1152,-1.9465,1.9852,2.7979,2.3668,-1.6185,1.9976,4.2627,-0.3316,0.5542,4.9614,10.4575,17.6471,7.1429,-2.3333,-0.5119,-4.8027,3.2432,-6.1082,4.2751,1.0695,3.1745,-1.1967,-5.7093,-2.7523,1.1321,-5.4104,2.5641,-5.3846,4.065,-3.9063,8.1301,6.0151,1.0639,-3.8597,10.5841,0.8251,-11.1293
5483 中美晶,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.52,9.9,7.92,4.91,7.14,6.9,5,12.12,6.15,9.33,8.86,6.91,5.37,4.46,15.78,6.39,3.95,5.17,8.36,4.05,8.99,6.16,9.47,5.43,7.57
5536 聖暉,週報酬率 %,-3.4351,1.9764,-0.0001,-0.7751,2.5422,-0.4132,1.2447,-0.4098,0.823,-4.4898,-1.2821,2.1646,-1.2713,-0.0001,0.4292,2.1368,1.2553,-1.2397,0.4185,6.6666,-1.5626,-2.381,-3.252,2.1008,1.2346,0.4065,-2.4291,0.4149,0.0001,0.4167,0,0.4132,0,-1.2345,-0.4167,0.8368,-2.0747,0.0001,7.2034,-1.9763,-0.0001,-0.0001,0.4032,-3.2128,-0.8299,-0.4184,-2.521,0,-6.8966,-1.3889,-0.4695,-1.4151,2.3924,2.3365,2.7398,-1.7777
5536 聖暉,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6121 新普,週報酬率 %,-1.4982,-3.4221,2.3622,-0.7692,3.6735,0,4.3307,-5.6605,6.4001,7.5188,0.0001,-0.0001,-1.3985,-2.1276,2.8985,0,7.0423,-0.6579,-3.3112,-0.3425,-2.0619,-6.3158,-4.1198,-0.7813,3.5434,2.6616,-0.7407,-2.9852,1.5386,-0.7518,0.7576,4.8872,2.8674,-2.0906,-1.0676,-3.5971,0.3732,-0.3717,1.8656,-2.1978,-1.8727,6.8703,2.1429,2.0979,-2.7397,5.2817,1.3377,6.6006,-4.0248,0.6452,1.282,0,6.3291,2.0834,0.2915,3.1977
6121 新普,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15,1,1.16,1.89,3.3,1.1,0.22,0.86,2.2,0.35,2.52,4.11,1.71,2.4,4.71,5.1,5.52,2.18,2.62,5.49,2.08,4.32,2.58,1.14,5.83
6147 頎邦,週報酬率 %,2.9101,-8.9974,3.8136,4.0816,-4.1831,-17.326,10.561,-4.4776,-1.236,11.2583,-2.3809,1.9817,1.4947,-4.2709,-0.7693,-4.0311,-1.1309,-6.3726,3.1414,1.692,2.3295,-6.3415,-2.9513,-1.0733,11.9348,0.6462,-21.7495,-4.8204,1.2932,3.3076,-1.8085,-0.7583,6.2227,-1.3362,-1.5625,7.5133,-1.7716,6.2123,-2.2641,-0.9653,3.1189,-1.1342,2.1032,4.3072,-0.0001,-1.6158,-6.0219,1.9417,-1.7143,-0.5814,3.1189,1.1343,2.6168,-2.55,-2.8037,0
6147 頎邦,現股當沖比重,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,7.59,7.93,4.49,7.42,6.23,6.2,3.87,9.1,5.11,7,7.55,11.53,9.53,4.97,5.63,5.8,5.63,3.79,7.26,3.23,3.79,3.19,4.64,4.94
